Time,Alt,Angle,qw,qx,qy,qz,High X,High Y,High Z
56506,11,1.26,1.00,-0.04,-0.01,-0.07,-160.57,-157.36,-170.20
56520,11,1.26,1.00,-0.04,-0.01,-0.07,-46.04,-97.88,-132.43
56534,11,1.26,1.00,-0.04,-0.01,-0.07,-114.82,-128.78,-145.17
56549,11,1.26,1.00,-0.04,-0.01,-0.07,-145.73,-150.60,-158.57
56563,11,1.26,1.00,-0.04,-0.01,-0.07,-161.23,-163.56,-167.66
56579,11,1.26,1.00,-0.04,-0.01,-0.07,-168.32,-169.21,-172.42
56593,11,1.26,1.00,-0.04,-0.01,-0.07,-164.45,-164.11,-168.99
56608,11,1.26,1.00,-0.04,-0.01,-0.07,-166.66,-166.66,-169.87
56648,11,1.26,1.00,-0.04,-0.01,-0.07,-174.64,-175.30,-177.85
56662,11,1.26,1.00,-0.04,-0.01,-0.07,-179.40,-178.51,-180.62
56676,11,1.26,1.00,-0.04,-0.01,-0.07,-173.53,-170.98,-174.75
56690,11,1.26,1.00,-0.04,-0.01,-0.07,-166.88,-165.00,-170.20
56704,11,1.26,1.00,-0.04,-0.01,-0.07,-164.00,-162.01,-167.55
56721,11,1.26,1.00,-0.04,-0.01,-0.07,-48.92,-101.42,-130.44
56735,11,1.26,1.00,-0.04,-0.01,-0.07,-109.73,-124.57,-140.08
56750,11,1.26,1.00,-0.04,-0.01,-0.07,-140.63,-147.17,-154.25
56770,11,1.26,1.00,-0.04,-0.01,-0.07,-146.28,-147.39,-155.47
56784,11,1.26,1.00,-0.04,-0.01,-0.07,-163.12,-164.11,-167.10
56799,11,1.26,1.00,-0.04,-0.01,-0.07,-172.31,-173.08,-174.75
56813,11,1.26,1.00,-0.04,-0.01,-0.07,-176.74,-177.96,-178.29
56828,11,1.26,1.00,-0.04,-0.01,-0.07,-176.96,-176.96,-178.95
56842,11,1.26,1.00,-0.04,-0.01,-0.07,-166.88,-165.00,-170.87
56856,11,1.26,1.00,-0.04,-0.01,-0.07,-164.67,-162.67,-168.43
56871,11,1.26,1.00,-0.04,-0.01,-0.07,-164.89,-163.12,-167.88
56885,15,1.26,1.00,-0.04,-0.01,-0.07,-171.53,-172.20,-173.75
56902,15,1.26,1.00,-0.04,-0.01,-0.07,-167.55,-165.33,-170.87
56917,15,1.26,1.00,-0.04,-0.01,-0.07,-176.30,-176.41,-176.96
56931,15,1.26,1.00,-0.04,-0.01,-0.07,-59.55,-118.26,-150.71
56944,15,1.26,1.00,-0.04,-0.01,-0.07,-120.25,-136.09,-152.93
56960,15,1.26,1.00,-0.04,-0.01,-0.07,-142.85,-146.83,-158.57
56973,15,1.26,1.00,-0.04,-0.01,-0.07,-145.84,-145.39,-155.25
56986,15,1.26,1.00,-0.04,-0.01,-0.07,-153.15,-152.81,-158.69
57001,15,1.26,1.00,-0.04,-0.01,-0.07,-166.66,-168.65,-169.32
